record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,aceptacion_de_las_gafas_modified_tfa_acceptability_timestamp,affective_attitude_v2,burden_v2,ethicality_v2,perceived_effectiveness_v2,intervention_coherence_v2,self_efficacy_v2,opportunity_costs_v2,general_acceptability_v2,uuid_4,startdate_4,enddate_4,scheduledate_4,status_4,supplementaldata_4,serializedresult_4,aceptacion_de_las_gafas_modified_tfa_acceptability_complete
1,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S001,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S002,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S003,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S003,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,3,2,1,5,5,4,2,4,,,,,,,,2
FUSPCEU_S004,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S004,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,2,2,1,3,4,4,2,4,,,,,,,,2
FUSPCEU_S005,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S005,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,2,4,2,4,5,4,2,3,,,,,,,,2
FUSPCEU_S006,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S006,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,2,2,3,4,4,3,2,2,,,,,,,,2
FUSPCEU_S007,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S007,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,2,5,5,4,2,4,,,,,,,,2
FUSPCEU_S008,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S008,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,2,3,1,5,4,4,3,5,,,,,,,,2
FUSPCEU_S009,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S009,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,5,2,5,4,2,4,,,,,,,,2
FUSPCEU_S010,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S010,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,1,4,3,5,1,4,,,,,,,,2
FUSPCEU_S011,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S011,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,4,3,5,3,1,4,,,,,,,,2
FUSPCEU_S012,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S012,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,2,4,1,4,5,5,1,4,,,,,,,,2
FUSPCEU_S013,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S013,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,3,4,4,4,2,4,,,,,,,,2
FUSPCEU_S014,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S014,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,2,5,5,4,2,4,,,,,,,,2
FUSPCEU_S015,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S015,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,1,5,5,4,2,5,,,,,,,,2
FUSPCEU_S016,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S016,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,4,2,5,2,2,4,,,,,,,,2
FUSPCEU_S017,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S017,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,2,2,3,2,4,5,4,4,,,,,,,,2
FUSPCEU_S018,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S018,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,1,1,4,5,4,1,4,,,,,,,,2
FUSPCEU_S019,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S019,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,2,4,4,4,2,4,,,,,,,,2
FUSPCEU_S020,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S020,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,1,4,2,4,5,2,5,4,,,,,,,,2
FUSPCEU_S021,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S021,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,4,4,5,5,5,5,4,,,,,,,,2
FUSPCEU_S022,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S022,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,2,4,2,3,4,4,2,4,,,,,,,,2
FUSPCEU_S023,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S023,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,1,4,3,3,4,2,4,4,,,,,,,,2
FUSPCEU_S024,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S024,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,3,2,3,3,2,3,2,4,,,,,,,,2
FUSPCEU_S025,,,,,,,,,,,,,,,,,,,,
FUSPCEU_S025,aceptacion_de_las_gafas_modified_tfa_acceptability,1,,,4,2,2,4,3,4,2,4,,,,,,,,2
